NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210057943671;2022;14;M;2;2;1;1;2;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;A;A;B;3;B;B;B;B;B;B;B;A;B;B;B;A;A;A;A;A;A;A;A;A
210057516120;2022;14;M;2;1;1;1;16;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;D;E;E;3;Q;D;E;E;E;E;E;E;E;E;E;E;B;E;B;B;E;B;E;B
210057280536;2022;5;F;1;2;1;1;2;1;;0;;;;;;;;2925758;Presidente Tancredo Neves;29;BA;1;1;1;1;1087;1056;1066;1078;421.1;546;498.8;565.3;DCDCEBADDABEDBCBEAEACCDDECEEBECBECAAECDDDDBCE;DBDABCADADECACBDCCEDACCCECDDABDCEADABCBCBAEAB;ABEABADCCADCAAAACDADDCECBAAACADABDEBCBCAAACEB;BDEBACECBCAEBABEDBABDACBCABCDEDEADBAABCBEACCD;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;140;200;120;140;160;760;E;F;A;D;2;B;A;B;C;A;A;B;B;A;A;A;A;A;A;A;A;C;A;A;B
210055724397;2022;6;M;1;3;1;1;2;1;;0;;;;;;;;3201308;Cariacica;32;ES;1;1;1;1;1088;1058;1067;1077;490.7;388.6;357.8;416;BACBBABBCAABCABBCBACBCBCBACABACABCBDBCBABAACA;BBCAACACDCABCBACCABABCBACBCABBBBBABCBACCBCBBA;ABACCCCBCBAADABBBACABBAABACCBCBBCDCACABABCAAC;BBBACCBABABBBBACDABBBBABCCBBCABBBBAACABBACBCB;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;120;40;40;100;20;320;C;A;A;B;3;A;A;C;D;A;A;B;A;B;A;B;A;A;C;A;A;C;B;B;B
210055097896;2022;4;M;0;3;1;1;1;1;;0;;;;;;;;1506203;Salinópolis;15;PA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;B;A;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
210057850231;2022;5;F;1;3;1;1;2;1;;0;;;;;;;;3304557;Rio de Janeiro;33;RJ;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;C;B;B;4;C;A;C;C;A;A;B;B;B;A;B;A;A;C;A;B;D;A;A;B
210056305481;2022;4;M;1;2;1;1;2;1;;0;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;B;B;3;B;A;B;D;A;A;B;A;A;A;A;A;A;C;A;A;C;A;A;B
210055778089;2022;6;F;1;2;1;1;0;1;;0;;;;;;;;3304904;São Gonçalo;33;RJ;1;1;1;1;1086;1055;1065;1076;398.1;427.3;400.2;404.9;CBCCDBCACACABBDAEACBCBBCBCBABBBBDDCBCCCACACDB;BABACCABCBADEABDDBABDEBABDABABCEDCBBDADECACAC;DACECBAEAABBEAACDCCBAEBEBABCCDCBEEDAABDCADBEB;DBCCABCCBCEEBCECBEBEACAABACBBBCBCBBCAEBACEBBC;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;100;120;80;100;40;440;E;E;B;B;5;B;A;B;C;B;A;C;B;A;A;B;A;A;C;A;A;E;A;A;B
210057252239;2022;8;F;1;3;1;1;0;1;;0;;;;;;;;2901007;Amargosa;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;A;D;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210055461467;2022;4;F;1;3;1;1;1;1;;0;;;;;;;;2601201;Arcoverde;26;PE;1;1;1;1;1087;1056;1066;1078;467.5;461;466.7;435.3;ACEAACADAEBADDCCACACBBCDEDEDABDBDAACBCBBDCACB;EAAABEADCDDCEAACDCAECACDCBAECAECEDCABCEDDDBAE;ECEABCBECEDACADABDCBDEEBBABEBCDAABBBDABCDACBE;BEBCCCABABCCDCCCBECEBEDEACBEDCBBDCDCDBADACBAA;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;80;80;80;80;40;360;E;E;B;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210055665589;2022;4;F;1;3;1;1;2;1;;0;;;;;;;;2510808;Patos;25;PB;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;B;A;A;5;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210054972570;2022;2;F;1;1;1;2;0;3;1;0;;;;;;;;2804508;Nossa Senhora da Glória;28;SE;1;1;1;1;1086;1055;1065;1076;458.7;539.8;488.2;456.8;DDDDDBCDDDBDDADDDDDDDDDADDDBDDCDDDDDDDDDDEDDD;AEAADEDEDDADDDDEDDDBDDDDADDBDDDDDDDDDEDDBBDDD;EABAAEAAAAAAAAEAAACAAAABCABAAAAAADDDDCADAAAAA;DDDDDCDEEDDCCDDDDADCDCDDDDDBDADDDDDDDCDDDDEDD;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;160;200;180;200;200;940;E;E;B;A;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210055449344;2022;4;M;1;2;1;1;1;1;;0;;;;;;;;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;B;F;A;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B
210057944037;2022;6;F;1;3;1;1;0;1;;0;;;;;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;E;C;D;4;C;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
210054861834;2022;7;M;1;2;2;1;3;1;;0;;;;;;;;5103403;Cuiabá;51;MT;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;B;B;3;C;A;B;C;A;B;B;A;B;B;B;A;A;B;A;B;C;A;B;B
210055201589;2022;8;F;1;3;1;2;0;2;1;0;2802106;Estância;28;SE;2;1;1;2802106;Estância;28;SE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;B;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210056844882;2022;5;F;1;2;1;1;0;1;;0;;;;;;;;2910057;Dias d'Ávila;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;D;B;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210056065100;2022;2;F;1;3;1;3;0;1;;1;;;;;;;;3510500;Caraguatatuba;35;SP;1;1;1;1;1086;1055;1065;1076;396.8;528.7;551.4;536;ABEACDCACEADBDBDBAEBCDCABBBEDCBEBDACDAAECEDAE;CEABADCEDEBAECBADABBCDBDAAEDCEDBABCACBEDAEDEA;CCBDBECEAECBDDECACCDBACECCBADBCAADACCCDDBCEDE;CABACCAEEAABEDCCCBBECCBAEBEBCCDBDBAEDEDABEAEB;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;140;180;100;140;80;640;G;F;F;F;2;B;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;C;B;B;B
210057551883;2022;8;F;1;2;1;1;5;1;;0;;;;;;;;3137007;Ladainha;31;MG;1;1;1;1;1088;1058;1067;1077;481.4;603.6;589;695;DDCDACAEDAEDDBBDABACDCACBBECBBECABDCEBECDABAC;DBDAAADEDEBBCDEADEABDBBCECDDADBAEEDDECBDBBACE;ACDEACEBBDBEBEAAADEEECDBDEAAADEABACBBCBCDCCCC;CEBBBECAACBBBEAADDEEBDADBBDAABDEACABBEACAECAC;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;140;200;160;160;200;860;B;F;A;D;6;B;A;B;E;B;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
210054722657;2022;2;F;1;1;1;3;0;1;;1;;;;;;;;3302403;Macaé;33;RJ;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;B;F;D;5;D;D;C;D;B;B;B;A;B;A;B;A;A;C;B;B;E;A;A;B
210055739197;2022;1;F;1;3;1;3;0;1;;1;;;;;;;;2604007;Carpina;26;PE;1;1;1;1;1086;1055;1065;1076;466.5;476.2;488.3;462.7;CCDDCEEABDDDCABEDBEABCCBBCCEEDDEBCBCBDEBEECDB;BEADADABEEABDBBDBEABCDCBBEEECCABDBEACDDDAEDCE;CCDDBEEDAEDBCDEBECCDDAEDBCEDCAABEDDCECADBACAE;CBDCABEDEBABBEDBAEABCDDBDEBAAECBEDDBBCADCCECA;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;4;0;0;0;0;0;0;H;E;C;B;6;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
210056627737;2022;5;F;1;3;1;1;2;1;;0;;;;;;;;2606804;Igarassu;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;E;B;C;3;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
210056235859;2022;4;F;1;1;1;1;0;1;;0;;;;;;;;3302007;Itaguaí;33;RJ;1;1;1;1;1088;1058;1067;1077;493.8;498.2;527;343;CAEDABEDDCBABCDEDAACBEADCBCEADBDDCEBABACDBEAC;DBDBAEACDEEBBDEADEADECBDABCEDABBEACDBCDCBDDCE;AACEECAACDBDBDCBABECEAADDCEABCECEACEBBADDECAB;EDBCEADBCAEBDBCDEACBDAECDABECEDCBBAECDACEABDE;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;120;120;120;120;160;640;B;D;D;B;2;B;A;C;C;B;A;B;B;B;A;B;A;A;B;B;A;C;A;B;B
210057706656;2022;4;M;1;3;1;1;1;1;;0;;;;;;;;2304400;Fortaleza;23;CE;1;1;1;1;1087;1056;1066;1078;476;559.2;607.3;625.4;CBAACCAAACBAEECBCCDCDEDEECEECEABDCBDEEDBBAECA;EABABADDDBCCBABDCEEEADAAEEAAAEBCCCCACBEDABDEE;CAEAADDBCAEAECEAADACACEACBAEEAAABEECECABCECBD;BDECACABDACADAACCDADEDCBDCCDEBCBEEBCADABBBDBA;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;140;160;120;160;180;760;E;E;B;B;3;E;A;C;C;B;A;B;B;B;A;A;A;A;C;A;A;B;A;A;B
210055059648;2022;8;F;1;3;1;1;6;1;;0;;;;;;;;3151800;Poços de Caldas;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;F;A;1;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B
210055139127;2022;5;M;1;3;1;1;4;1;;0;;;;;;;;2905909;Campo Alegre de Lourdes;29;BA;1;1;1;1;1086;1055;1065;1076;386.5;458.5;479.7;383.1;DEBCDCEBDEBACDCBADBCECBEBDECADBD*BCDAEDCEDBAD;CAEBEDDAEDADBCDBDAABDBEAEDACCBACBDCEBDEDCACDE;BCEBEBDEBAACDBEDEACDEAEEBECBDEBEADACACBCBDECD;ABDCDABDCDECEBACECDCBAEBCADBCEADDBECBACEBAECE;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;100;120;80;120;100;520;C;C;A;A;5;C;A;B;D;A;B;B;A;A;A;B;A;A;A;A;A;A;A;A;B
210057454355;2022;2;F;1;3;1;2;0;2;1;0;;;;;;;;3556503;Várzea Paulista;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;C;F;F;8;D;A;C;D;B;A;B;B;B;A;B;A;A;C;A;A;E;A;A;B
210057728624;2022;7;M;1;2;1;1;3;1;;0;;;;;;;;2930501;Serrinha;29;BA;1;1;1;1;1086;1055;1065;1076;414.6;518.2;596.5;573.4;EBCDAACABEABDCABDAECBADACDBAEDCEBBDEAEDAAEBDD;DCACEECAEBADECAACBBBBADCECDEACCADBBEBDABBEDCA;DCBDEEAEAAACCDBCBECDEEEECCBBDCEAEEBCADADBAEDE;AACCECBEEDDCDEBDADCCBEEBDCABBDABDCCEAEDBAEBCD;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;120;160;120;120;120;640;E;E;D;B;3;B;A;C;C;B;A;B;B;B;A;B;A;A;B;B;A;D;A;B;B
210057043682;2022;6;M;1;3;1;1;2;1;;0;;;;;;;;2412005;São Gonçalo do Amarante;24;RN;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;B;F;B;2;C;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B
210057510589;2022;11;F;1;5;1;1;8;1;;0;;;;;;;;2603009;Cabrobó;26;PE;1;1;1;1;1087;1056;1066;1078;437;505.2;438.6;615.3;AEBDECABEBBCCBDBBBBECDCCBEAEAEAEBADBBCDCCEDBC;DDEABCEEDBEAEEECEACEADECACEDADACDBAACAEACAADA;DEDEDDDDBDCADECEADDBEEDBBCEEBEEDDEBEEBCBBECEB;BBEDABEBDACDEBBCECEABECBCBCABCDCDBCBCDBCBBDAA;0;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;80;40;40;100;40;300;H;H;A;A;4;B;A;B;D;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B
210056235916;2022;3;F;1;3;1;1;1;1;;0;;;;;;;;1302504;Manacapuru;13;AM;1;1;1;1;1086;1055;1065;1076;576.5;590.6;601.4;744.6;EBDCADCAAECCCABCADADBCEAABCBCEAECAABDCDEDADDC;AEACCDDAACADDCEEDDCBECDBAAEBCEEAAACDEBDDBBCCE;ECEACEAAACEBBCBCBDCCBACECCBAAAAEEDACADEEBDEAE;DBDAACEBEBACECABCCEEDCACABACBCAEDABEACCCBBBBC;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;140;120;120;120;140;640;E;E;B;D;4;G;A;C;D;A;B;B;B;B;B;A;A;A;C;A;B;D;A;C;B
210054534656;2022;12;M;1;1;1;1;0;1;;0;;;;;;;;4307005;Erechim;43;RS;1;1;1;1;1085;1057;1068;1075;385.5;415.9;415.6;352.4;DAEDDEEBDCEBACCEADEAACBADCCBAEEDCADEDBDAACECD;DDDCEBAABCCBDCBCCABBEBDDDEDDEBAAAABBCBBBCBBBB;DBEDBEEEDAADCACCEDADBDBACACDEADBACEBEDAACBCAE;CBEACDCDBACACCBBACAADCDEBADEABEDACCEABCADCBCD;0;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1;80;80;100;80;20;360;A;F;F;E;1;B;A;B;E;A;A;B;A;B;A;A;A;A;B;B;B;B;A;A;B
210056338475;2022;8;F;1;3;1;1;5;1;;0;;;;;;;;2919207;Lauro de Freitas;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;E;A;B;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210057182714;2022;10;F;1;1;1;1;7;1;;0;;;;;;;;4314902;Porto Alegre;43;RS;1;1;1;1;1085;1057;1068;1075;495;422;600.1;536.3;EDEABCEACDEBBECDDCDCACCDECDBCDADCDCBDDBACCDCE;BCBCDABACDEBDDAABBCCDEEDDBAACCBACDDEAEECCDECB;BDECDCCCDACEBECBCABAEEDABAEDEDEBACCADADDBAEAD;DCBDBBBDAEAADCEDACCBAAEBECDCBCBBCEBCACBEBECDE;0;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1;160;200;160;120;120;760;E;E;B;B;3;E;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;D;A;B;B
210056212765;2022;14;F;3;3;1;1;14;1;;0;;;;;;;;1200401;Rio Branco;12;AC;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;A;A;B;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210056917096;2022;7;M;1;1;1;1;5;1;;0;;;;;;;;2611903;Rio Formoso;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;D;B;B;5;C;A;B;D;A;A;B;A;A;A;B;A;A;B;A;A;A;A;A;B
210056185147;2022;7;F;1;3;1;1;0;1;;0;;;;;;;;2111300;São Luís;21;MA;1;1;1;1;1085;1057;1068;1075;466.9;477.8;360.9;446.4;DBEBACDEAECBCEDBEBCEDCDEBAEEADBAABDDADBDCEAEB;EAAEECAEDAAECCEDAAAECAECEABEBBDACAEBBABAEBBAD;DEDCABBDDBAAECAABABBDBBABCDEAECBACEBCECCACEAB;BCDBADACBDCEBDCDCACEBAEAECCDCCDEACEAEAADCECBE;0;ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE;CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB;BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA;ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE;1;120;120;120;100;80;540;B;D;A;A;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
